Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,null,null,null,null,null,null
2019-06-05,44050.000000,44200.000000,43700.000000,43900.000000,43900.000000,12464135
2019-06-07,43600.000000,44350.000000,43450.000000,44200.000000,44200.000000,11683682
2019-06-10,44300.000000,44850.000000,44050.000000,44800.000000,44800.000000,8792182
2019-06-11,44800.000000,45000.000000,44550.000000,44850.000000,44850.000000,6664872
2019-06-12,44800.000000,45050.000000,44300.000000,44600.000000,44600.000000,8607439
2019-06-13,44200.000000,44400.000000,43400.000000,43750.000000,43750.000000,16906541
2019-06-14,43750.000000,44150.000000,43300.000000,44000.000000,44000.000000,9322873
2019-06-17,43750.000000,44050.000000,43400.000000,43900.000000,43900.000000,11890424
2019-06-18,43750.000000,44500.000000,43650.000000,44350.000000,44350.000000,7994928
2019-06-19,45450.000000,45450.000000,45000.000000,45350.000000,45350.000000,10417690
2019-06-20,44850.000000,45500.000000,44850.000000,45500.000000,45500.000000,7147785
2019-06-21,45750.000000,45800.000000,45200.000000,45700.000000,45700.000000,9454913
2019-06-24,45200.000000,45800.000000,45200.000000,45500.000000,45500.000000,6085066
2019-06-25,45200.000000,45800.000000,45200.000000,45600.000000,45600.000000,7076774
2019-06-26,45800.000000,46000.000000,45600.000000,45700.000000,45700.000000,9226097
2019-06-27,46000.000000,46600.000000,45750.000000,46500.000000,46500.000000,12603534
2019-06-28,47000.000000,47000.000000,46700.000000,47000.000000,47000.000000,12949231
2019-07-01,47350.000000,47400.000000,46250.000000,46600.000000,46600.000000,11383522
2019-07-02,46200.000000,46900.000000,45850.000000,46250.000000,46250.000000,8463073
2019-07-03,45750.000000,46350.000000,45200.000000,45400.000000,45400.000000,9669368
2019-07-04,45250.000000,46200.000000,45250.000000,46000.000000,46000.000000,6365573
